Hostplus Superannuation Fund,,,,
HC Growth - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Growth - Class A Option —Assets,,,Summary,
ITAU UNIBANCO HLDNG-PREF ADR,2849739,"337,560","2,704,183",0.05%
ITC LTD,B0JGGP5,"135,200","1,233,541",0.02%
ITOCHU CORP ORD,6467803,"7,144","575,031",0.01%
ITT INC,BZBY209,"9,246","2,133,764",0.04%
IVANHOE MINES LTD-CL A IVN,BD73C40,"9,579","183,515",0.00%
J P MORGAN CHASE & CO COM,2190385,"7,865","3,044,852",0.05%
JABIL INC,2471789,136,"31,575",0.00%
JACK HENRY & ASSOCIATES INC COM USD0.01,2469193,"6,700","1,897,072",0.03%
JAFRON BIOMEDICAL CO LTD-A,BFY8H03,"1,629","10,516",0.00%
JAMES HARDIE INDUSTRIES PLC,B60QWJ2,"384,827","19,268,295",0.32%
JAPAN AIRLINES COMPANY LTD NPV,B8BRV46,453,"11,615",0.00%
JAPAN ELEVATOR SERVICE HOLDI 6544,BF0QWT5,"2,990","89,589",0.00%
JAPAN EXCHANGE GROUP INC,6743882,760,"13,829",0.00%
JAPAN PETROLEUM EXPLORATION SHS,6711696,"79,239","924,268",0.02%
JAPAN POST BANK CO LTD 7182,BYT8165,"1,249","19,182",0.00%
JAPAN POST HOLDINGS CO LTD 6178,BYT8143,"2,525","38,682",0.00%
JAPAN POST INSURANCE CO LTD 7181,BYT8154,72,"2,161",0.00%
JAPAN REAL ESTATE INVESTMENT,6397580,13,"14,373",0.00%
JAPAN TOBACCO INC,6474535,"1,087","45,559",0.00%
JARDINE MATHESON HLDGS ORD,6472119,"15,081","997,918",0.02%
JB HI-FI LTD NPV,6702623,"40,717","3,773,674",0.06%
JD SPORTS FASHION,BM8Q5M0,"1,297","2,516",0.00%
JD.COM INC - CL A,BKPQZT6,"128,877","3,644,288",0.06%
JD.COM INC-ADR,BMM27D9,"17,131","959,289",0.02%
JDE PEET'S BV JDEP,BMC4ZZ3,392,"10,842",0.00%
JEFFERIES FINANCIAL GROUP IN,BG0Q4Z2,"20,771","2,630,134",0.04%
JERONIMO MARTINS,B1Y1SQ7,630,"19,454",0.00%
JFE HOLDINGS INC NPV,6543792,682,"12,479",0.00%
JIANGSU CHANGJIANG ELECTRONI,BP3RCQ2,"46,415","417,227",0.01%
JIANGSU HENGRUI MEDICINE C-A,BP3R369,"14,621","147,645",0.00%
JIANGSU PHOENIX PUBLISH-A,BP3R5F2,"67,695","171,862",0.00%
JOBY AVIATION INC,BMCRLL0,"105,191","1,381,254",0.02%
JOHN KEELLS HOLDINGS PLC NPV,6475538,"15,257,188","1,900,743",0.03%
JOHNS LYNG GROUP LTD,BYPHBX3,-233,-873,0.00%
JOHNSON & JOHNSON COM,2475833,"23,341","5,451,961",0.09%
JOHNSON CONTROLS INTERNATION,BY7QL61,647,"82,524",0.00%
JOHNSON ELECTRIC HLDGS,BP4JH17,"152,124","344,765",0.01%
JOINCARE PHARMACEUTICAL GR-A,BP3RBV0,"75,044","186,063",0.00%
JUDO CAPITAL HOLDINGS LTD,BMW7F41,"765,117","1,392,513",0.02%
JULIUS BAER GROUP LTD,B4R2R50,262,"27,441",0.00%
JUMBO INTERACTIVE LTD JUMBO INTERACTIVE,6524474,"11,125","154,859",0.00%
JUNIPER NETWORKS INC COM,2431846,319,"19,303",0.00%
KAJIMA CORP,6481320,526,"15,563",0.00%
KANSAI ELECTRIC POWER,6483489,793,"14,288",0.00%
KANSAI PAINT CO LTD,6483746,"99,948","2,324,462",0.04%
KAO CORP,6483809,508,"33,356",0.00%
KAR AUCTION SERVICES INC COM USD0.01,B4Y1MH7,"110,301","3,534,472",0.06%
KAROON ENERGY LTD,B00SV00,"650,202","903,780",0.02%
KASIKORNBANK PCL (ALIEN MKT),6888794,"379,348","2,794,372",0.05%
KAWASAKI KISEN KAISHA LTD NPV,6484686,735,"17,024",0.00%
KBC CORP LTD-A,IE000S9YS762 (ISIN),"12,549","58,142",0.00%
KDDI CORP,6248990,"4,629","239,865",0.00%
KE HOLDINGS INC,BMBX7M2,"44,932","1,336,757",0.02%
KELLANOVA,2486813,294,"38,457",0.00%
KELSIAN GROUP LTD,BPBKR80,"327,446","1,198,454",0.02%
KENVUE INC,BQ84ZQ6,"136,434","4,704,608",0.08%
KEPPEL LTD,B1VQ5C0,"1,757","14,226",0.00%
KERING,5505072,86,"34,221",0.00%
KERRY GROUP PLC-A 'A'ORD EUR0.125,490656,95,"14,429",0.00%
KERRY GROUP PLC-A ORD,4519579,"8,023","1,251,262",0.02%
KESKO OYJ-B SHS NPV SER'B',4490005,747,"22,712",0.00%
KEURIG DR PEPPER INC,BD3W133,"1,185","61,460",0.00%
KEYCORP NEW COM,2490911,667,"18,471",0.00%
KEYENCE CORPORATION,6490995,"3,266","2,169,172",0.04%
KEYERA CORP COM NPV,B3SGMV5,299,"14,738",0.00%
KEYSIGHT TECHNOLOGIES IN-W/I KEYS-W,BQZJ0Q9,"8,842","2,293,824",0.04%
KGL RESOURCES LTD,B066SP2,"908,970","86,352",0.00%
KIKKOMAN CORPORATION KIKKOMAN CORPORATIO,6490809,774,"14,022",0.00%
KIMBERLY CLARK CORP COM,2491839,340,"72,061",0.00%
KIMCO REALTY CORP COM STK USD0.01,2491594,676,"25,585",0.00%
KINDER MORGAN INC COM USD0.01,B3NQ4P8,"2,074","91,793",0.00%
KINGFA SCI.& TECH CO LTD-A,BP3R8H5,"21,187","40,272",0.00%
KINGFISHER PLC,3319521,"274,771","1,382,275",0.02%
KINGNET NETWORK CO LTD-A 002517,BD5CC27,"64,770","193,932",0.00%
KINGSPAN GROUP PLC ORD EUR0.13,492793,166,"19,358",0.00%
KINGSPAN GROUP PLC ORD EUR0.13,4491235,"12,230","1,440,960",0.02%
KINROSS GOLD CORP,B03Z841,"1,106","16,578",0.00%
KIRIN HOLDINGS COMPANY LIMITED,6493745,650,"13,689",0.00%
KKR & CO INC,BG1FRR1,634,"151,403",0.00%
KLA-TENCOR CORP COM,2480138,145,"147,465",0.00%
KLEPIERRE EUR1.40,7582556,417,"19,380",0.00%
KMD BRANDS LTD,B59HM77,"1,529,412","596,471",0.01%
KNIGHT-SWIFT TRANSPORTATION,BF0LKD0,207,"17,766",0.00%
KNORR-BREMSE AG,BD2P9X9,22,"2,627",0.00%
KOBE BUSSAN CO LTD 3038,B14RJB7,149,"5,284",0.00%
KOC HOLDING AS TRY1,B03MVJ8,"54,210","442,230",0.01%
KOGAN.COM LTD,BYYY339,"147,099","913,486",0.02%
KOITO MANUFACTURING CO LTD NPV,6496324,"11,758","242,646",0.00%
KOKUSAI ELECTRIC CORP,BNGHNG2,206,"4,547",0.00%
KOMORI CORPORATION,6496658,"52,453","651,179",0.01%
KONAMI GROUP CORP,6496681,169,"25,664",0.00%
KONE CORP NEW NPV ORD 'B',B09M9D2,343,"26,942",0.00%
KONINKLIJKE AHOLD DELHAIZE NV,BD0Q398,"1,050","55,325",0.00%
KONINKLIJKE KPN NV,5956078,"5,120","30,097",0.00%
KONINKLIJKE PHILIPS NV,5986622,"1,076","43,909",0.00%
KOREA ELECTRIC POWER CORP,6495730,"49,859","1,096,756",0.02%
KOREA INVESTMENT HOLDINGS CO KRW5000,6654586,"20,524","1,605,505",0.03%
KOTAK MAHINDRA BANK LTD,6135661,"101,662","3,425,313",0.06%
KPIT TECHNOLOGY LTD,BFMX0X4,"56,934","1,573,130",0.03%
KR1 PLC,BYYPQX3,"119,430","154,611",0.00%
KRAFT HEINZ CO/THE,BYRY499,930,"46,128",0.00%
KRAFTON INC,BMBP900,"3,069","1,052,210",0.02%
KREDIETBANK NV PARTS S ORD,4497749,546,"68,107",0.00%
KROGER CO COM,2497406,"8,575","846,902",0.01%
KT CORP,6505316,"8,682","417,664",0.01%
KT CORP SPONSORED ADR,2419875,"23,024","577,136",0.01%
KUBOTA CORP,6497509,"1,548","29,250",0.00%
KUEHNE & NAGEL INTL AG-REG CHF1(REGD)(PO,B142S60,59,"21,966",0.00%
KWEICHOW MOUTAI CO LTD-A,BP3R2F1,"14,347","4,810,080",0.08%
KYOCERA CORP ORD,6499260,"23,362","378,259",0.01%
KYOTO FINANCIAL GROUP INC,BMV4NR2,"32,214","768,051",0.01%
KYOWA KIRIN CO LTD,6499550,"1,012","24,703",0.00%
LA FRANCAISE DES JEUX SAEM FDJ,BG0SC10,153,"9,507",0.00%
LABCORP HOLDINGS INC,BSBK800,101,"37,448",0.00%
LAM RESEARCH CORP,US5128073062 (ISIN),"6,413","748,189",0.01%
LAMB WESTON HOLDING INC LW-W,BDQZFJ3,144,"15,531",0.00%
LAND SECURITIES GROUP PLC,BYW0PQ6,374,"4,421",0.00%
LARGAN PRECISION CO LTD,6451668,"18,804","2,478,045",0.04%
LAS VEGAS SANDS CORP COM USD0.001,B02T2J7,383,"31,732",0.00%
LASERTEC CORPORATION LASERTEC CORPORATIO,6506267,100,"15,640",0.00%
LAUDER ESTEE COS INC CL A,2320524,244,"29,605",0.00%
LEAR CORP,B570P91,"15,453","2,363,507",0.04%
LEG IMMOBILIEN AG NPV,B9G6L89,102,"14,005",0.00%
LEGAL & GENERAL GROUP PLC,560399,"4,828","22,443",0.00%
LEGEND UPSTAR HOLDINGS LTD,BYXGD92,"585,677","9,498",0.00%
LEGRAND LEGRAND,B11ZRK9,339,"53,364",0.00%
Lendlease Group,AU000000LLC3 (ISIN),"1,915,320","11,932,446",0.20%
LENNAR CORP COM,2511920,256,"56,471",0.00%
LENNOX INTERNATIONAL INC,2442053,29,"28,618",0.00%
LENS TECHNOLOGY CO LTD-A,BD5CP17,"123,878","596,838",0.01%
LENTA LTD-REG S LNTA,BJ621Y3,"14,208",0,0.00%
LEO LITHIUM LTD,BPX2X20,"1,017,407","513,790",0.01%
LESAKA TECHNOLOGIES INC,B0B0WZ7,"85,357","745,830",0.01%
LG CHEM LTD,6346913,"1,700","466,151",0.01%
LIBERTY BROADBAND-A LBRDA,BRTLBY3,62,"7,440",0.00%
LIBERTY BROADBAND-C LBRDK,BRTLC06,309,"37,343",0.00%
LIBERTY LATIN AMERICA-CL A-WI,BD9Q3P5,"2,191","22,510",0.00%
LIBERTY LATIN AMERICA-CL-C-WI,BD9Q3Q6,"2,975","30,460",0.00%
LIBERTY MEDIA CORP-LIBERTY-A,BPLYVQ8,167,"17,908",0.00%
LIBERTY MEDIA CORP-LIBERTY-C,BPLYVR9,242,"26,615",0.00%
LIBERTY MEDIA CORP-LIB-NEW-A,BPLYVM4,137,"18,629",0.00%
LIBERTY MEDIA CORP-LIB-NEW-C,BPLYVN5,"2,976","445,381",0.01%
LIC HOUSING FINANCE LTD,6101026,"60,176","678,902",0.01%
LIFCO AB-B SHS,BL6K7K9,240,"11,246",0.00%
LIFE360 INC-CDI,BJMXQ67,"340,768","7,680,914",0.13%
LIFESTYLE COMMUNITIES LTD NPV,6137195,"49,714","425,555",0.01%
LIGHT & WONDER INC-CDI,BMXNX11,"56,502","7,749,856",0.13%
LINAMAR CORP COM NPV,2516022,"32,612","2,079,870",0.03%
LINDE PLC,BNZHB81,512,"346,134",0.01%
LINDT & SPRUENGLI AG-PC,5962280,2,"30,400",0.00%
LINGYI ITECH GUANGDON-RIGHTS18NOV24,CNE1000015L5 (ISIN),91,0,0.00%
LINK REIT NPV,B0PB4M7,"2,326","15,886",0.00%
LIONS GATE ENTERTAINMENT-B LGF/B,BD8NB53,0,0,0.00%
LIONTOWN RESOURCES LTD,B1J89V5,"7,835","4,113",0.00%
LIVANOVA PLC LIVN,BYMT0J1,"25,355","1,896,439",0.03%
LIVE NATION ENTERTAINMENT INC,B0T7YX2,143,"29,894",0.00%
LIVON PHARMACEUTICAL GROU-A,BD5CQ25,"54,668","457,017",0.01%
LKQ CORP COM USD0.01,2971029,347,"20,574",0.00%
LLOYDS BANKING GROUP PLC,870612,"951,259","1,054,066",0.02%
LOBLAW COS LTD COM,2521800,134,"28,442",0.00%
LOEWS CORP COM,2523022,"3,164","432,847",0.01%
LOGITECH INTERNATIONAL-REG CHF0.25(REGD),B18ZRK2,156,"20,833",0.00%
LOJAS RENNER S.A. SHS,B0CGYD6,"263,044","833,488",0.01%
LOMA NEGRA CIA IND-SPON ADR,BYP6YP3,"21,830","420,974",0.01%
LOMON BILLIONS GROUP CO-A,BD5LS71,"20,735","80,604",0.00%
LONDON STOCK EXCHANGE GROUP ORD GBP0.069,B0SWJX3,"39,323","8,976,179",0.15%
LONZA AG-REG,7333378,71,"67,420",0.00%
LOOMIS AB-B,BMVB566,"37,934","1,865,319",0.03%
L'OREAL,4057808,251,"143,652",0.00%
LOTTERY CORP/THE,BNRQW72,"104,299","515,239",0.01%
LOTUS BAKERIES,4224992,0,"2,934",0.00%
LOTUS RESOURCES LTD,BK6XLC1,"6,817,743","1,363,549",0.02%
LOUISIANA-PACIFIC CORP COM,2535243,"8,069","1,349,557",0.02%
LOVISA HOLDINGS LTD,BT9PVP0,"67,947","2,049,290",0.03%
LOWES COS INC COM,2536763,610,"243,131",0.00%
LPL FINANCIAL HOLDINGS INC LPL FINANCIAL,B75JX34,76,"39,888",0.00%
LSL PROPERTY SERVICES PLC ORD GBP0.002,B1G5HX7,"13,431","82,592",0.00%
LUCECO PLC LUCE,BZC0LP4,"145,045","376,718",0.01%
LUFTHANSA AG,5287488,536,"5,532",0.00%
LUKOIL 0AO-CLS,4560588,"3,015",0,0.00%
LUKOIL PJSC-SPON ADR LKOD,BYZDW27,67,0,0.00%
LULULEMON ATHLETICA INC COM STK USD0.01,B23FN39,"3,023","1,867,012",0.03%
LUNDBERGS AB-B SHS SER'B'NPV,4538002,290,"21,224",0.00%
LUNDIN MINING CORP COM NPV,2866857,"1,163","16,162",0.00%
LUXSHARE PRECISION INDUSTR-A,BD5CN80,"21,309","191,080",0.00%
LVMH MOET HENNESSY LOUIS VUITTON SE,4061412,"2,819","2,996,016",0.05%
LY CORPORATION,6084848,"2,452","10,570",0.00%
LYNAS RARE EARTHS LTD,6121176,"1,570,699","10,099,596",0.17%
LYONDELLBASELL INDU-CL A COM USD0.01 CLA,B3SPXZ3,"12,037","1,443,926",0.02%
M & T BANK CORP COM,2340168,160,"48,445",0.00%
M&C SAATCHI PLC ORD GBP0.01,B01F7T1,"417,306","1,434,998",0.02%
M&G PRUDENTIAL PLC MNG,BKFB1C6,"2,059","8,241",0.00%
M3 INC,B02K2M3,604,"8,667",0.00%
MA FINANCIAL GROUP LTD,BMYZBN4,"117,727","720,491",0.01%
MAAS GROUP HOLDINGS LTD,BLD4919,"150,582","721,288",0.01%
MACMAHON HOLDINGS LIMITED NPV,6551160,"5,316,015","1,834,025",0.03%
MACQUARIE GROUP LIMITED,B28YTC2,"203,396","45,082,794",0.75%
MACQUARIE TECHNOLOGY GROUP LTD,6175054,"3,712","327,799",0.01%
MACROTECH DEVELOPERS LTD,BM9G370,"59,808","1,567,596",0.03%
MAGELLAN FINANCIAL GROU-CW27,BQ3SBX2,-17,-2,0.00%
MAGELLAN FINANCIAL GROUP LTD NPV,B015YX4,"114,009","1,267,782",0.02%
MAGNA INTL INC CL A,2554475,353,"23,791",0.00%
MAGNETIC RESOURCES MAU,B1SDPL3,"214,297","236,798",0.00%
MAGNITOGORSK IRON & STEEL MAGN,B5B1RP0,"34,854",0,0.00%
MAGNOTEC LTD,B6S2SR2,"250,281","46,302",0.00%
MAHINDRA & MAHINDRA LTD,6100186,"36,694","2,081,586",0.03%
MAJOR CINEPLEX GROUP-FOREIGN THB1(ALIEN,TH0671010Z16,"347,700","242,124",0.00%
MAKEMYTRIP LTD USD0.0005,B552PC2,"3,722","674,967",0.01%
MAKITA CORP SHS,6555805,"2,646","131,683",0.00%
MALAYSIA AIRPORTS HLDGS BHD,6188193,"990,840","3,786,525",0.06%
MANAPPURAM FINANCE LTD,6570400,"41,236","146,594",0.00%
MANHATTAN ASSOCIATES INC COM STK USD0.01,2239471,71,"31,086",0.00%
MANULIFE FINANCIAL CORP COM,2492519,"1,775","88,010",0.00%
MARATHON PETROLEUM COM USD0.01,B3K3L40,"7,165","1,614,375",0.03%
MARKEL CORP COM NPV,2566436,10,"27,102",0.00%
MARKETAXESS HOLDINGS INC COM USD0.003,B03Q9D0,35,"12,944",0.00%
MARKS & SPENCER GRP PL SHS,3127489,"-1,849","-14,043",0.00%
MARRIOTT INTERNATIONAL -CL A,2210614,261,"117,414",0.00%
MARSH & MCLENNAN COS,2567741,"11,467","3,934,092",0.07%
MARTIN MARIETTA MATERIALS,2572079,58,"48,409",0.00%
MARUBENI CORP,6569464,"1,727","42,467",0.00%
MARUTI SUZUKI INDIA LTD,6633712,"42,550","8,715,960",0.15%
MARVELL TECHNOLOGY INC,BNKJSM5,880,"157,052",0.00%
MASCO CORP COM,2570200,"4,418","517,850",0.01%
MASTERCARD INC-CLASS A COM USD0.0001 CLA,B121557,886,"753,620",0.01%
MATCH GROUP INC,BK80XH9,273,"14,415",0.00%
MATSUKIYOCOCOKARA & CO,B249GC0,254,"6,015",0.00%
MAX HEALTHCARE INST LTD,INE027H01010 (ISIN),"82,022","1,745,598",0.03%
MBIA INC COM STK USD1,2547044,"47,930","500,084",0.01%
MBK PCL,TH0480B10Z01 (ISIN),"44,498","36,256",0.00%
MBK PCL-FOREIGN MBK/F,BFWRH57,"1,151,937","1,118,662",0.02%
MCCORMICK & CO INC COM NON VTG,2550161,212,"26,153",0.00%
MCDONALDS CORP COM,2550707,752,"352,042",0.01%
MCDONALD'S HOLDINGS CO JAPAN NPV,6371863,233,"14,810",0.00%
MCKESSON CORP COM,2378534,135,"124,497",0.00%
MCMILLAN SHAKESPEARE LTD NPV,B00G1Q0,"1,889","28,333",0.00%
MCX LTD,B7L5LS7,"3,442","404,734",0.01%
MD MEDICAL GROUP INVEST-REGS GDR(EACH RE,B8JZ5X9,"9,214",0,0.00%
MEDIATEK INC,6372480,"111,938","7,803,070",0.13%
MEDIBANK PRIVATE LTD,BRTNNQ5,"1,170,526","4,436,294",0.07%
MEDIOBANCA SPA EUR0.5,4574813,127,"3,001",0.00%
MEDTRONIC PLC,BTN1Y11,"25,945","3,347,311",0.06%
MEG ENERGY CORP COM NPV,B4XF9J1,532,"14,112",0.00%
MEGAPORT LIMITED,BZ5ZWZ3,"83,182","613,052",0.01%
MEIJI HOLDINGS CO LTD NPV,B60DQV3,305,"10,044",0.00%
MEITUAN-CLASS B,BGJW376,"478,996","15,108,262",0.25%
MELROSE INDUSTRIES PLC,GB00BNGDN821,"106,799","1,196,371",0.02%
MERCADOLIBRE INC COM STK USD0.001,B23X1H3,"5,755","15,805,637",0.26%
MERCEDES-BENZ GROUP AG,5529027,949,"85,418",0.00%
MERCK & CO INC COM,2778844,"2,665","428,132",0.01%
MERCK KGAA,4741844,145,"33,918",0.00%
MERCURY NZ LTD,B8W6K56,"1,158","6,127",0.00%
MERIDIAN ENER-PARTLY PAID SH MERIDIAN EN,BWFD052,786,"4,204",0.00%
MESOBLAST LTD NPV,B04SF48,-91,-281,0.00%
META PLATFORMS INC-CLASS A,B7TL820,"9,195","8,695,025",0.14%
METALS ACQUISITION LTD-CDI,BS2KWR4,"69,860","1,202,294",0.02%
METCASH LTD NPV,B0744W4,"2,507,292","7,772,606",0.13%
METLIFE INC COM,2573209,684,"90,435",0.00%
METRO INC -A CLASS'A'SUB VTG NPV,2583952,221,"22,419",0.00%
METRO MINING LTD MMI,BTDBK35,"6,344,928","380,696",0.01%
METSO OUTOTEC OYJ,B1FN8X9,362,"5,442",0.00%
METTLER-TOLEDO INTERNATIONAL COM STK USD,2126249,736,"1,455,171",0.02%
MGM RESORTS INTERNATIONAL,2547419,"25,991","1,454,551",0.02%
MICHELIN (CGDE),BPBPJ01,628,"33,389",0.00%
MICHELMERSH BRICK HOLDINGS P MBH,B013H06,"341,624","687,573",0.01%
MICROCHIP TECHNOLOGY INC COM,2592174,"2,957","273,912",0.00%
MICRON TECHNOLOGY INC,2588184,"18,966","2,577,950",0.04%
MICROSOFT CORP,2588173,"44,969","30,613,521",0.51%
MICROSTRATEGY INC-CL A COM CL'A' USD0.00,2974329,195,"91,241",0.00%
MID-AMERICA APARTMENT COMM COM STK USD0.,2589132,198,"49,437",0.00%
MIDEA GROUP CO LTD-A,BD5CPP1,"115,736","1,915,226",0.03%
MIDLAND HLDGS HKD0.10,6597700,"445,907","77,879",0.00%
MILLICOM INTL CELLULAR-SDR SHS DEP RCT,B00L2M8,"16,854","668,131",0.01%
MINEBEA MITSUMI INC,6642406,592,"15,639",0.00%
MINERAL RESOURCES LTD NPV,B17ZL56,"215,388","7,377,051",0.12%
MINOR INTERNATIONAL PCL-FOR THB1(ALIEN M,B018BZ4,"540,073","665,184",0.01%
MINTH GROUP LTD,B0RJCG9,"182,156","572,654",0.01%
MIRVAC GROUP STAPLED SECURITIES,6161978,"3,974,965","7,453,059",0.12%
MITSUBISHI CHEMICAL GROUP CO,B0JQTJ0,"1,078","8,860",0.00%
MITSUBISHI CORP ORD,6596785,"30,341","811,948",0.01%
MITSUBISHI ELEC CORP,6597045,"1,807","49,909",0.00%
MITSUBISHI ESTATE CO LTD,6596729,"23,644","534,691",0.01%
MITSUBISHI HC CAPITAL INC,6268976,357,"3,819",0.00%
MITSUBISHI HEAVY INDS LTD,6597067,"2,965","67,736",0.00%
MITSUBISHI UFJ FINANCIAL GRO NPV,6335171,"11,416","216,572",0.00%
MITSUI & CO LTD ORD,6597302,"2,609","88,786",0.00%
MITSUI CHEMICALS INC,6597368,75,"2,675",0.00%
MITSUI FUDOSAN CO LTD,6597603,"2,816","36,758",0.00%
MITSUI O.S.K. LINES LTD,6597584,287,"16,237",0.00%
MIZRAHI TEFAHOT BANK LTD ILS0.01,6916703,425,"29,691",0.00%
MIZUHO FINANCIAL GROUP INC,6591014,"2,448","97,424",0.00%
MMC NORILSK NICKEL OJSC-RTS RUB1(RUB),7131431,"14,204",0,0.00%
MMC NORILSK NICKEL PJSC,B5B1TX2,"23,325",0,0.00%
MODERNA INC MRNA,BGSXTS3,"27,119","1,821,198",0.03%
MOHAWK INDUSTRIES INC COM,2598699,"10,834","2,084,532",0.03%
MOLINA HEALTHCARE INC COM,2212706,57,"26,742",0.00%
MOLSON COORS BEVERAGE CO,B067BM3,168,"15,551",0.00%
MONADELPHOUS GROUP LIMITED NPV,6600471,"22,247","311,461",0.01%
MONASH IVF GROUP LTD MONASH IVF GROUP LT,BMSK748,"581,450","738,442",0.01%
MONCLER SPA,BGLP232,"65,108","5,551,211",0.09%
MONDAY.COM LTD,BMHRYX8,35,"13,209",0.00%
MONDELEZ INTERNATIONAL INC,B8CKK03,"1,358","130,963",0.00%
MONDI PLC,BMWC6P4,"46,791","1,128,200",0.02%
MONGODB INC MDB,BF2FJ99,67,"25,019",0.00%
MONOLITHIC POWER SYSTEMS INC COM STK USD,B01Z7J1,47,"45,056",0.00%
MONOTARO CO LTD MONOTARO CO,B1GHR88,"41,543","1,140,769",0.02%
MONSTER BEVERAGE CORP MNST,BZ07BW4,"39,653","3,366,140",0.06%
MONTAUK RENEWABLES INC,BMDMWB1,"23,243","165,123",0.00%
MONTAUK RENEWABLES INC,BN6HHQ0,"21,975","141,257",0.00%
MOODYS CORP COM,2252058,"14,836","11,342,688",0.19%
MORGAN STANLEY COM NEW,2262314,"17,475","3,548,276",0.06%
MOSAIC CO COM USD0.01,B3NPHP6,365,"14,507",0.00%
MOTOR OIL (HELLAS) SA EUR0.3 (CR),5996234,"19,239","664,122",0.01%
MOTORCOMM ELECTRONIC TECHN-A,CNE100005ZK0 (ISIN),"3,798","82,709",0.00%
MOTOROLA SOLUTIONS INC,B5BKPQ4,"3,503","2,615,441",0.04%
MOUNT GIBSON IRON LTD,6963743,"3,608,773","1,064,588",0.02%
MOWI ASA,B02L486,301,"8,347",0.00%
MP MATERIALS CORP,BN15Y35,"24,505","617,429",0.01%
MS&AD INSURANCE GROUP HOLDIN,B2Q4CS1,"10,105","358,178",0.01%
MSC INDUSTRIAL DIRECT CO-A CL A COM USD0,2567655,"11,362","1,370,651",0.02%
MSCI INC-A COM STK USD0.01 CLS'A',B2972D2,"3,613","3,501,773",0.06%
MTN GROUP LTD ZAR0.0001,6563206,"124,916","983,536",0.02%
MTR CORP,6290054,"2,284","12,870",0.00%
MTU AERO ENGINES AG,B09DHL9,65,"34,905",0.00%
MUENCHENER RUECKVER AG-REG,5294121,127,"103,145",0.00%
MULTIPLAN EMPREENDIMENTOS COM NPV,B23DZG0,"116,729","643,308",0.01%
MURATA MFG CO LTD,6610403,"1,718","45,194",0.00%
MUYUAN FOODSTUFF CO LTD-A,BD5CJX7,"28,106","237,683",0.00%
MYSTATE LTD NPV,B41XHK4,"25,871","115,386",0.00%
NANOSONICS LTD NPV,B1WF979,"275,326","828,732",0.01%
NANYANG TOPSEC TECHNOLOGIE-A,BD73L76,"74,585","105,835",0.00%
NASDAQ INC,2965107,426,"53,200",0.00%
NASPERS LTD-N SHS,BN0VX82,"4,928","1,760,311",0.03%
NATIONAL AUSTRALIA BANK LTD,6624608,"1,021,755","37,907,093",0.63%
NATIONAL BANK OF CANADA COM,2077303,318,"46,837",0.00%
NATIONAL BANK OF GREECE ETE,BG087C6,"86,921","1,113,550",0.02%
NATIONAL GRID PLC NG/LN,BDR05C0,"6,502","124,940",0.00%
NATIONAL STORAGE REIT REIT UNITS,BGP6479,"-1,449","-3,390",0.00%
NATWEST GROUP PLC,BM8PJY7,"42,084","342,293",0.01%
NAURA TECHNOLOGY GROUP CO-A,BD5LYF1,"7,550","649,477",0.01%
NAVER CORP,6560393,"13,404","2,924,873",0.05%
NEC CORP SHS,6640400,313,"44,171",0.00%
NEMETSCHEK SE,5633962,91,"14,217",0.00%
NESTE OIL OYJ NPV,B06YV46,"52,663","1,067,923",0.02%
NESTLE S A SHS,7123870,"39,472","5,267,517",0.09%
NETAPP INC,2630643,231,"43,369",0.00%
NETEASE INC,BM93SF4,"181,843","5,232,759",0.09%
NETFLIX INC COM USD0.001,2857817,"7,385","10,631,486",0.18%
NETWEALTH GROUP LTD NWL,BF52PL1,"212,494","6,109,204",0.10%
NEUREN PHARMACEUTICALS LTD NEU,B04LVF0,"65,485","818,559",0.01%
NEUROCRINE BIOSCIENCES INC COM USD0.001,2623911,99,"21,778",0.00%
NEW CHINA LIFE INSURANCE C-A,BP3R3F8,"7,457","81,535",0.00%
NEW HOPE CORP LTD,6681960,"674,616","3,346,095",0.06%
NEW WORLD DEVELOPMENT,BM94GQ4,"104,575","112,195",0.00%
NEWAY VALVE SUZHOU CO LTD-A,BS7K3W1,"66,979","326,681",0.01%
NEWMONT  CORP,2636607,"1,105","66,418",0.00%
NEWMONT CORP,BJYKTV2,47,"2,823",0.00%
NEWMONT CORP-CDI,BRDVMB3,"286,308","17,046,756",0.28%
NEWS CORP - CLASS B- CDI,BD7SZP7,"16,583","820,861",0.01%
NEWS CORP/NEW-CL A-W/I NEWS CORP/NEW-CL,BBGVT40,627,"27,890",0.00%
NEXGEN ENERGY LTD-CDR,BLR8K36,"1,049,067","11,340,410",0.19%
NEXI SPA NEXI,BJ1F880,"182,049","1,631,955",0.03%
NEXON CO LTD NPV,B63QM77,"7,643","186,676",0.00%
NEXT PLC SHS,3208986,"5,398","1,037,038",0.02%
NEXTDC LTD NPV,B5LMKP4,"479,125","7,220,409",0.12%
NEXTERA ENERGY INC,2328915,"2,211","255,955",0.00%
NIB HOLDINGS LTD NPV,B28ZM60,"287,869","1,577,522",0.03%
NIBE INDUSTRIER AB-B SHS,BN7BZM3,"1,950","12,323",0.00%
NICE LTD,6647133,97,"26,600",0.00%
NICK SCALI LTD NPV,B00VZV8,"41,333","620,406",0.01%
